98+0i 1.05328408211382+0i 0.885936937981121+-0.00964294752619002i 0.669394608330177+0.000679306332701198i -0.234751833893714+0i
99+0i 1.0507926372797+0i 0.886171667044119+-0.00903930816448497i 0.668314073727884+0.000572561419479871i -0.233577379133204+0i
100+0i 1.04481470867979+0i 0.886766987275713+-0.00818682184084635i 0.66752963970535+0.000697590654204181i -0.23347009689819+0i
101+0i 1.03549500619436+0i 0.887708008872941+-0.0070962753770535i 0.666994933657857+0.00105105052446656i -0.234338846336463+0i
102+0i 1.0233430236402+0i 0.888942157420571+-0.0057723863362711i 0.666637916842616+0.00158756204379649i -0.235990150055668+0i
103+0i 1.00913204364991+0i 0.890391340755117+-0.00425635428882312i 0.66636735061397+0.00226192856190069i -0.23816049241173+0i
104+0i 0.993538172014014+0i 0.891985497300387+-0.0025944797490334i 0.666095886407041+0.00300962796243066i -0.240602829811216+0i
105+0i 0.9774829208605+0i 0.893630184106353+-0.000845740300988153i 0.665715697328672+0.00376560494728159i -0.243002947629044+0i
106+0i 0.961510231480047+0i 0.895268076093718+0.000947456532258685i 0.665157639038717+0.00447632561208748i -0.245164202301062+0i
107+0i 0.946117411117242+0i 0.896847846535043+0.00271993224892619i 0.664366281535712+0.005076875218854i -0.246920385033208+0i
108+0i 0.932086555983914+0i 0.898288408995378+0.00442736053831139i 0.663261641848212+0.00551480176008103i -0.24801994530881+0i
109+0i 0.91979392795153+0i 0.899550173333876+0.00604094272922818i 0.661834830921114+0.0057587613392796i -0.248381341164894+0i
110+0i 0.909476725749501+0i 0.900607558123724+0.00752031968933287i 0.660073142975574+0.00576841800208858i -0.247943054556551+0i
111+0i 0.901279429051989+0i 0.901444763713814+0.00888287615580989i 0.657997118539804+0.00555298320267772i -0.246708558672441+0i
112+0i 0.895094981714479+0i 0.902071642591245+0.0101352104735065i 0.655654267811417+0.00510336911314748i -0.244758469513569+0i
113+0i 0.89101508682109+0i 0.90247846607725+0.0113078646318457i 0.65307704594832+0.00444941001794482i -0.242121344892752+0i
114+0i 0.888647312103693+0i 0.902704126130108+0.0124187728917074i 0.650363200348268+0.00360992735895563i -0.239000887006626+0i
115+0i 0.887834391620546+0i 0.902764335448187+0.0135194273565611i 0.64757416616887+0.00264105555402506i -0.235505061110822+0i
116+0i 0.888443161599436+0i 0.90267222291212+0.0146554859917352i 0.644779157508929+0.0015865757951294i -0.231746598367707+0i
117+0i 0.890179960818109+0i 0.902457915185305+0.0158677195650516i 0.642056404196239+0.000509960410272837i -0.22788385430642+0i
118+0i 0.89288090401241+0i 0.902138398455422+0.0171855870808179i 0.639461573094008+-0.000543130289408579i -0.224016957232467+0i
119+0i 0.896322933159373+0i 0.901736634597789+0.0186364333716115i 0.637051138386051+-0.00150583441719144i -0.220259287861708+0i
120+0i 0.900263656714331+0i 0.901278392233151+0.0202160258333232i 0.634863286559642+-0.00234134353597088i -0.216703330368007+0i
121+0i 0.904699475944265+0i 0.900765387709322+0.0219213787414894i 0.632910312036601+-0.00301719658454001i -0.21336290269569+0i
122+0i 0.909406814568918+0i 0.900221309764459+0.0237390815638809i 0.631193329732331+-0.00350490085192887i -0.210277632387907+0i
123+0i 0.914295305045869+0i 0.899656880258654+0.0256261779666492i 0.629717264660668+-0.0037997685047539i -0.207469926487234+0i
124+0i 0.919203467506575+0i 0.89909004416625+0.0275561492893782i 0.628455466039933+-0.00388246205954734i -0.204933997538019+0i
