64+0i -1.45501730276535+0i 1.17848757125894+0.113157983031284i 0.198086771382174+0.0839394312809422i -0.467554615953286+0i
65+0i -1.43285300382103+0i 1.17510979572254+0.11275273188241i 0.194146834064381+0.0828975771671359i -0.455792939651545+0i
66+0i -1.4119102472246+0i 1.17189991424854+0.112918756033855i 0.190289814388013+0.0824471525560069i -0.445214799334561+0i
67+0i -1.39495573542139+0i 1.16926440189831+0.113483745018824i 0.186927338584403+0.082410699291231i -0.436912167485211+0i
68+0i -1.38223447095162+0i 1.16724749429237+0.114184065889299i 0.184125691232258+0.0824775972828837i -0.43079162651911+0i
69+0i -1.37450437752696+0i 1.16596043395395+0.114761871123098i 0.182013116196302+0.082400426840551i -0.427003964075726+0i
70+0i -1.37179108369651+0i 1.165405713564+0.114985959256078i 0.180611481313021+0.0819421877454107i -0.425457244459786+0i
71+0i -1.37361827208544+0i 1.1655291151657+0.114575614178806i 0.179874615862382+0.0808197739595648i -0.425851778784273+0i
72+0i -1.37968112859765+0i 1.16630080470149+0.113305029623471i 0.17977879443979+0.078840511867031i -0.427940301591857+0i
73+0i -1.38844543131382+0i 1.16752438463931+0.110974387622721i 0.180136498029386+0.0758146470354948i -0.431067509127689+0i
74+0i -1.39915668402566+0i 1.16910202401248+0.107475137500783i 0.180854261042998+0.0716608396364388i -0.434863085566102+0i
75+0i -1.41039385153198+0i 1.17082768170703+0.102815645948976i 0.181701864904688+0.0664125571572153i -0.438766914401599+0i
76+0i -1.42119857240955+0i 1.17257131596559+0.097031684454367i 0.182555210816753+0.0601189824282491i -0.442356281072941+0i
77+0i -1.4300146641021+0i 1.17412057929175+0.0902732529099116i 0.18319486615689+0.0529380665616867i -0.445076023367815+0i
78+0i -1.43625202870748+0i 1.17537833925466+0.0827475246332565i 0.183515437229713+0.0450772154575734i -0.446655128332665+0i
79+0i -1.43922972716225+0i 1.17623846600637+0.0747403553271343i 0.183410908496497+0.036817954156682i -0.446885175236957+0i
80+0i -1.43872270281873+0i 1.1766531915069+0.0665525843644376i 0.182838584054909+0.0284496231285263i -0.445659772483384+0i
81+0i -1.4351141945955+0i 1.17665542342572+0.0585476767941046i 0.181825713499544+0.0203117580983105i -0.443128927882231+0i
82+0i -1.4281975626033+0i 1.17619218928152+0.0510653609090864i 0.180313085036817+0.0127151886576568i -0.439224698198027+0i
83+0i -1.41924690741595+0i 1.17542203142931+0.0444325260091478i 0.178493285797285+0.00597271683146781i -0.43453213711918+0i
84+0i -1.40853218713449+0i 1.17436426914394+0.0388577896299503i 0.17638049421289+0.000264171713894297i -0.429103887338846+0i
85+0i -1.3970445875277+0i 1.17314188815366+0.0345022072476805i 0.17411081774099+-0.00426030892530916i -0.423336525357701+0i
86+0i -1.38556632339301+0i 1.17185173390841+0.0314457883591449i 0.171801384769602+-0.00752750306236419i -0.417564964365961+0i
87+0i -1.37500383346301+0i 1.17061228266758+0.029676299580153i 0.1695817074006+-0.00955688081749616i -0.412140953981524+0i
88+0i -1.36647129554748+0i 1.16957853124806+0.0290701249254364i 0.167624559080508+-0.0104516884136932i -0.40753843049638+0i
89+0i -1.36006150033097+0i 1.16877097069308+0.0294272368747063i 0.16596528942789+-0.0104104788872946i -0.403829227607171+0i
90+0i -1.3565381459072+0i 1.16830245166993+0.0305117856972928i 0.164734148301635+-0.00964397382913945i -0.401323154079998+0i
91+0i -1.35595131831581+0i 1.16819276352989+0.0320087152726913i 0.163963188250408+-0.00844175198750846i -0.400065025510205+0i
92+0i -1.35837879947086+0i 1.16846853001101+0.0336061570730095i 0.163702879603832+-0.00709030549391952i -0.400110114184784+0i
93+0i -1.36344387864708+0i 1.16909065501004+0.0350241150210175i 0.163907198214233+-0.00584180233215374i -0.401334167280614+0i
94+0i -1.37055365793818+0i 1.16999930134995+0.0359723847114774i 0.16451055311908+-0.00498111892488526i -0.403517492979796+0i
95+0i -1.37936938294459+0i 1.17115484265629+0.0362569246948409i 0.165478189977515+-0.00468784741661588i -0.406530136745335+0i
96+0i -1.38906753846101+0i 1.17245636833756+0.0357539962995844i 0.166691284369155+-0.00507799055166548i -0.410049202453029+0i
